id,timestamp,total,critical,high,medium,low
1,2026-02-09 11:38:22.694632,3,1,2,0,0
2,2026-02-09 11:38:24.068337,3,1,2,0,0
3,2026-02-09 11:38:28.875639,3,1,2,0,0
4,2026-02-09 11:38:33.917200,3,1,2,0,0
5,2026-02-09 11:38:34.651666,4,1,2,1,0
6,2026-02-09 11:38:38.904680,4,1,2,1,0
7,2026-02-09 11:38:46.478260,4,1,2,1,0
8,2026-02-09 11:38:58.290287,4,1,2,1,0
9,2026-02-09 11:39:10.129836,5,2,2,1,0
10,2026-02-09 11:39:21.940334,6,2,3,1,0
11,2026-02-09 11:39:29.243068,6,2,3,1,0
12,2026-02-09 11:39:33.728341,7,2,3,2,0
13,2026-02-09 11:39:34.122091,7,2,3,2,0
14,2026-02-09 11:39:39.112050,7,2,3,2,0
15,2026-02-09 11:39:44.199674,7,2,3,2,0
16,2026-02-09 11:39:45.477324,8,2,3,2,1
17,2026-02-09 11:39:49.174003,8,2,3,2,1
18,2026-02-09 11:39:54.119496,8,2,3,2,1
19,2026-02-09 11:39:57.431873,9,3,3,2,1
20,2026-02-09 11:39:59.119297,9,3,3,2,1
21,2026-02-09 11:40:04.190963,9,3,3,2,1
22,2026-02-09 11:40:09.143343,9,3,3,2,1
23,2026-02-09 11:40:09.342958,10,3,3,3,1
24,2026-02-09 11:40:14.176810,10,3,3,3,1
25,2026-02-09 11:40:19.142656,10,3,3,3,1
26,2026-02-09 11:40:21.285518,10,3,3,3,1
27,2026-02-09 11:40:24.141871,10,3,3,3,1
28,2026-02-09 11:40:29.164882,10,3,3,3,1
29,2026-02-09 11:40:33.046602,11,4,3,3,1
30,2026-02-09 11:40:34.147592,11,4,3,3,1
31,2026-02-09 11:40:44.913676,12,4,3,4,1
